Код	№ Паспорта	ФИО	Адрес	Размер ссуды, руб	Срок ссуды, мес	Цель ссуды	Среднемесячный доход, руб	Среднемесячный расход, руб	Основное направление расходов	Наличие недвижимости	Наличие автотранспорта	Наличие банковского счета	Наличие страховки	Название организации	Отраслевая принадлежность предприятия	Срок работы на данном предприятии, лет	Направление деятельности заемщика	Срок работы на данном направлении, лет	Пол	Семейное положение	Количество лет	Количество иждивенцев	Срок проживания в данной местности, лет	Обеспеченность займа	Давать кредит
21	5137-102723	1	1	19500	12	Покупка товара	12500	6000	Оплата услуг (мед., юрид. и т.п.)	Нет	Нет	Да	Нет	1	Торговля розничная	3	Участие в основной деятельности	5	Жен	Да	31	1	13	ИСТИНА	ИСТИНА
22	6135-173882	1	1	13500	12	Покупка товара	6000	3500	Покупка товаров длит. пользования	Да	Нет	Нет	Да	1	Торговля оптовая, поср. деательность	2	Участие в основной деятельности	4	Муж	Да	25	1	16	ИСТИНА	ИСТИНА
23	8094-918355	1	1	3500	6	Оплата услуг (мед., юрид. и т.п.)	3000	2000	Турпоездки, развлечения и т.п.	Нет	Да	Нет	Да	1	Финансы, банковское дело	2	Реклама и маркетинг	4	Муж	Да	46	2	22	ИСТИНА	ЛОЖЬ
24	6645-920913	1	1	31500	18	Оплата за образование	9500	4500	Содержание/аренда недвижимости, а/т	Да	Нет	Нет	Нет	1	Увесилительный, игровой и шой-бизнес	2	Юридическая служба	2	Жен	Нет	20	0	10	ИСТИНА	ЛОЖЬ
25	8529-494658	1	1	33500	12	Иное	16000	9000	Помощь родственникам	Да	Нет	Да	Нет	1	Информатика и телекоммуникации	4	Участие в основной деятельности	7	Жен	Да	44	3	12	ИСТИНА	ИСТИНА
26	1268-282099	1	1	30500	18	Покупка товара	11000	5000	Оплата услуг (мед., юрид. и т.п.)	Да	Да	Нет	Нет	1	Туризм	3	Участие в основной деятельности	5	Муж	Нет	26	0	12	ИСТИНА	ИСТИНА
27	7545-438258	1	1	5000	6	Покупка товара	4500	2500	Оплата услуг (мед., юрид. и т.п.)	Да	Да	Нет	Нет	1	Салоны красоты и здоровья	4	Служба безопасности	5	Муж	Да	62	3	31	ИСТИНА	ИСТИНА
28	5269-114557	1	1	20500	12	Покупка товара	9000	6500	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Информатика и телекоммуникации	4	Участие в основной деятельности	5	Муж	Нет	23	1	13	ИСТИНА	ИСТИНА
29	2123-431893	1	1	15500	12	Иное	6500	3000	Одежда, продукты питания и т.п.	Нет	Нет	Нет	Нет	1	Федеральное и муниципальное управление	5	Бухгалтерия, финансы и планирование	7	Жен	Да	39	2	18	ИСТИНА	ЛОЖЬ
30	6240-905343	1	1	11000	12	Покупка товара	6500	4000	Одежда, продукты питания и т.п.	Да	Нет	Нет	Да	1	Иное	8	Бухгалтерия, финансы и планирование	10	Муж	Нет	25	0	18	ИСТИНА	ИСТИНА
31	4330-489161	1	1	30500	18	Иное	8500	3500	Одежда, продукты питания и т.п.	Нет	Да	Да	Нет	1	Сельское хозяйство	5	Участие в основной деятельности	7	Муж	Да	26	1	14	ИСТИНА	ИСТИНА
32	7868-419759	1	1	20000	12	Оплата услуг (мед., юрид. и т.п.)	13000	6500	Затраты на образование (в т.ч. детей)	Нет	Нет	Нет	Нет	1	Химия, парфюмерия, фармацефтика	7	Служба безопасности	10	Жен	Нет	22	0	10	ИСТИНА	ИСТИНА
33	4171-994644	1	1	26000	12	Оплата услуг (мед., юрид. и т.п.)	11000	6000	Помощь родственникам	Да	Да	Нет	Нет	1	Торговля оптовая, поср. деательность	3	Служба безопасности	6	Муж	Да	24	0	18	ИСТИНА	ИСТИНА
34	0215-925450	1	1	2000	6	Покупка товара	2500	1500	Содержание/аренда недвижимости, а/т	Да	Да	Нет	Нет	1	Салоны красоты и здоровья	8	Снабжение и сбыт	9	Жен	Нет	22	0	9	ИСТИНА	ИСТИНА
35	9781-694864	1	1	17000	6	Покупка и ремонт недвижимости	14500	8500	Выплаты по исполнительным документам	Да	Нет	Да	Нет	1	Информатика и телекоммуникации	9	Участие в основной деятельности	11	Муж	Да	26	1	12	ИСТИНА	ИСТИНА
36	1110-761223	1	1	51500	18	Покупка товара	27000	14500	Одежда, продукты питания и т.п.	Да	Да	Нет	Да	1	Легкая и пищевая промышленность	12	Участие в основной деятельности	13	Жен	Да	26	0	15	ИСТИНА	ИСТИНА
37	4739-704506	1	1	10000	12	Оплата за образование	4500	2500	Одежда, продукты питания и т.п.	Да	Нет	Нет	Нет	1	Образование (комерч.)	3	Участие в основной деятельности	6	Муж	Да	34	1	18	ИСТИНА	ЛОЖЬ
38	3743-657486	1	1	45500	18	Оплата за образование	15000	9500	Покупка товаров длит. пользования	Да	Нет	Нет	Нет	1	Увесилительный, игровой и шой-бизнес	2	Участие в основной деятельности	2	Жен	Да	35	3	14	ИСТИНА	ИСТИНА
39	6158-823684	1	1	35000	24	Оплата услуг (мед., юрид. и т.п.)	7500	3500	Одежда, продукты питания и т.п.	Нет	Нет	Да	Нет	1	Увесилительный, игровой и шой-бизнес	5	Адм.-хоз. и транспортная службы	6	Жен	Да	51	1	25	ИСТИНА	ИСТИНА
40	4706-697059	1	1	20500	12	Покупка товара	17000	8500	Покупка товаров длит. пользования	Да	Нет	Нет	Нет	1	Легкая и пищевая промышленность	2	Служба безопасности	4	Муж	Да	37	2	6	ИСТИНА	ЛОЖЬ
41	8578-989805	1	1	4000	6	Покупка товара	3500	2500	Оплата услуг (мед., юрид. и т.п.)	Да	Нет	Нет	Нет	1	Сельское хозяйство	6	Участие в основной деятельности	8	Муж	Нет	19	0	15	ИСТИНА	ЛОЖЬ
42	1674-618294	1	1	39000	30	Турпоездки, развлечения и т.п.	9000	4500	Турпоездки, развлечения и т.п.	Да	Нет	Нет	Нет	1	Финансы, банковское дело	3	Вспомогательный технический персонал	3	Муж	Да	43	2	21	ИСТИНА	ЛОЖЬ
43	3062-509949	1	1	4000	6	Покупка товара	4000	2000	Мобильная связь, Интернет	Да	Да	Нет	Нет	1	Информатика и телекоммуникации	6	Кадровая служба и секритариат	7	Жен	Нет	48	1	25	ИСТИНА	ИСТИНА
44	0592-020720	1	1	56000	42	Оплата услуг (мед., юрид. и т.п.)	13500	8500	Оплата услуг (мед., юрид. и т.п.)	Да	Да	Нет	Нет	1	Машиностроение и металлообработка	4	Служба безопасности	5	Жен	Да	34	3	16	ИСТИНА	ИСТИНА
45	1418-278343	1	1	8000	6	Оплата услуг (мед., юрид. и т.п.)	7000	3500	Одежда, продукты питания и т.п.	Нет	Нет	Да	Нет	1	Машиностроение и металлообработка	2	Участие в основной деятельности	4	Жен	Да	60	3	29	ИСТИНА	ИСТИНА
46	4201-154352	1	1	10500	6	Покупка и ремонт недвижимости	9000	4500	Мобильная связь, Интернет	Да	Да	Да	Нет	1	Информатика и телекоммуникации	3	Служба безопасности	5	Жен	Да	21	1	13	ИСТИНА	ИСТИНА
47	9440-318701	1	1	21000	12	Покупка товара	9500	5500	Турпоездки, развлечения и т.п.	Да	Нет	Нет	Нет	1	Химия, парфюмерия, фармацефтика	12	Участие в основной деятельности	14	Муж	Да	26	1	13	ИСТИНА	ИСТИНА
48	6419-169376	1	1	13500	6	Покупка и ремонт недвижимости	11500	7000	Одежда, продукты питания и т.п.	Да	Нет	Да	Нет	1	Транспорт и связь	6	Служба безопасности	7	Муж	Нет	19	0	11	ИСТИНА	ИСТИНА
49	8330-177896	1	1	12000	6	Покупка товара	10500	6000	Турпоездки, развлечения и т.п.	Да	Нет	Да	Да	1	Ощественное питание	9	Снабжение и сбыт	12	Муж	Нет	25	0	13	ИСТИНА	ИСТИНА
50	8679-535081	1	1	22000	12	Покупка товара	9500	4500	Затраты на образование (в т.ч. детей)	Да	Да	Нет	Нет	1	Издательская деательность	14	Участие в основной деятельности	16	Жен	Да	62	2	21	ИСТИНА	ИСТИНА
51	1198-675950	1	1	36000	12	Оплата за образование	15500	7000	Покупка товаров длит. пользования	Да	Да	Да	Нет	1	Сельское хозяйство	6	Снабжение и сбыт	8	Жен	Да	26	1	15	ИСТИНА	ИСТИНА
52	9335-441746	1	1	35000	24	Покупка и ремонт недвижимости	7500	3500	Содержание/аренда недвижимости, а/т	Да	Да	Нет	Нет	1	Торговля оптовая, поср. деательность	4	Адм.-хоз. и транспортная службы	7	Жен	Да	35	2	10	ИСТИНА	ИСТИНА
53	1654-082632	1	1	30000	24	Оплата за образование	6500	3500	Покупка товаров длит. пользования	Да	Нет	Нет	Нет	1	Информатика и телекоммуникации	12	Участие в основной деятельности	13	Муж	Нет	45	3	19	ИСТИНА	ИСТИНА
54	6554-431614	1	1	14000	12	Покупка товара	6000	2500	Турпоездки, развлечения и т.п.	Да	Нет	Нет	Нет	1	Торговля оптовая, поср. деательность	12	Пр.-техн. обесп. и телекомуникации	14	Муж	Да	57	2	26	ИСТИНА	ИСТИНА
55	5603-850550	1	1	10500	6	Покупка и ремонт недвижимости	9000	5500	Турпоездки, развлечения и т.п.	Да	Нет	Да	Нет	1	Химия, парфюмерия, фармацефтика	2	Реклама и маркетинг	4	Жен	Да	48	2	24	ИСТИНА	ИСТИНА
56	4782-790111	1	1	24500	18	Оплата услуг (мед., юрид. и т.п.)	9500	5000	Затраты на образование (в т.ч. детей)	Да	Нет	Нет	Нет	1	Вооруженные силы	6	Участие в основной деятельности	8	Муж	Да	23	1	15	ИСТИНА	ИСТИНА
57	0068-824536	1	1	35500	12	Покупка и ремонт недвижимости	15000	9000	Выплаты по кредитам/займам	Да	Да	Да	Нет	1	Торговля оптовая, поср. деательность	8	Бухгалтерия, финансы и планирование	9	Муж	Нет	41	1	17	ИСТИНА	ИСТИНА
58	4724-654105	1	1	31500	18	Покупка товара	11500	7000	Покупка товаров длит. пользования	Нет	Нет	Нет	Нет	1	Наука и культура	3	Участие в основной деятельности	4	Жен	Нет	30	0	13	ИСТИНА	ИСТИНА
59	8869-735506	1	1	13000	12	Покупка товара	5500	3000	Одежда, продукты питания и т.п.	Да	Нет	Нет	Нет	1	Юридические и нотариальные услуги	11	Адм.-хоз. и транспортная службы	12	Муж	Да	42	0	23	ИСТИНА	ИСТИНА
60	2674-822363	1	1	16500	12	Оплата услуг (мед., юрид. и т.п.)	7000	4500	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Иное	9	Участие в основной деятельности	11	Жен	Нет	26	1	12	ИСТИНА	ИСТИНА
61	7879-009671	1	1	28000	24	Иное	6000	3000	Содержание/аренда недвижимости, а/т	Да	Да	Нет	Нет	1	Образование (гос.)	7	Реклама и маркетинг	7	Муж	Да	33	2	21	ИСТИНА	ИСТИНА
62	4822-125880	1	1	32000	18	Покупка товара	9000	3500	Затраты на образование (в т.ч. детей)	Нет	Да	Нет	Нет	1	Здравоохранение (комерч.)	8	Реклама и маркетинг	9	Жен	Нет	26	0	22	ИСТИНА	ИСТИНА
63	4659-566400	1	1	11000	12	Иное	5000	2000	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Машиностроение и металлообработка	3	Участие в основной деятельности	6	Муж	Да	37	2	19	ИСТИНА	ИСТИНА
64	8968-912248	1	1	11500	12	Оплата за образование	5500	4000	Содержание/аренда недвижимости, а/т	Да	Нет	Нет	Нет	1	Финансы, банковское дело	3	Бухгалтерия, финансы и планирование	3	Муж	Да	35	3	23	ИСТИНА	ЛОЖЬ
65	9276-593316	1	1	11000	6	Оплата за образование	10500	6500	Мобильная связь, Интернет	Да	Да	Нет	Нет	1	Ощественное питание	2	Снабжение и сбыт	5	Муж	Да	36	3	21	ИСТИНА	ИСТИНА
66	7707-360083	1	1	20500	12	Оплата за образование	9000	4500	Турпоездки, развлечения и т.п.	Да	Да	Нет	Нет	1	Увесилительный, игровой и шой-бизнес	3	Участие в основной деятельности	5	Муж	Нет	45	3	33	ИСТИНА	ИСТИНА
67	2559-650715	1	1	14000	6	Оплата за образование	14000	6000	Содержание/аренда недвижимости, а/т	Да	Нет	Нет	Нет	1	Иное	5	Участие в основной деятельности	5	Муж	Да	35	3	14	ИСТИНА	ИСТИНА
68	4016-277012	1	1	16500	12	Покупка товара	8500	4000	Затраты на образование (в т.ч. детей)	Да	Да	Нет	Да	1	Финансы, банковское дело	8	Участие в основной деятельности	9	Жен	Да	26	1	7	ИСТИНА	ИСТИНА
69	3608-834637	1	1	39000	18	Покупка товара	11000	7000	Одежда, продукты питания и т.п.	Нет	Нет	Нет	Нет	1	Федеральное и муниципальное управление	8	Участие в основной деятельности	10	Муж	Да	24	1	12	ИСТИНА	ЛОЖЬ
70	9417-766485	1	1	22500	12	Покупка товара	11000	4500	Содержание/аренда недвижимости, а/т	Да	Нет	Нет	Нет	1	Сборочные производства	3	Пр.-техн. обесп. и телекомуникации	5	Муж	Да	23	0	14	ИСТИНА	ЛОЖЬ
71	8883-020394	1	1	13500	12	Оплата за образование	6000	3000	Покупка товаров длит. пользования	Нет	Нет	Нет	Нет	1	Торговля оптовая, поср. деательность	8	Участие в основной деятельности	10	Муж	Нет	22	0	11	ИСТИНА	ИСТИНА
72	5556-523265	1	1	2500	6	Покупка и ремонт недвижимости	2500	1500	Турпоездки, развлечения и т.п.	Да	Нет	Нет	Нет	1	Образование (комерч.)	6	Участие в основной деятельности	8	Жен	Нет	27	0	18	ИСТИНА	ИСТИНА
73	1985-815345	1	1	13500	12	Оплата услуг (мед., юрид. и т.п.)	6000	4000	Одежда, продукты питания и т.п.	Да	Нет	Нет	Нет	1	Информатика и телекоммуникации	4	Реклама и маркетинг	4	Муж	Да	32	3	11	ИСТИНА	ЛОЖЬ
74	4384-234265	1	1	41000	18	Покупка товара	11500	5500	Мобильная связь, Интернет	Нет	Нет	Да	Нет	1	Увесилительный, игровой и шой-бизнес	7	Бухгалтерия, финансы и планирование	9	Жен	Да	36	3	21	ИСТИНА	ИСТИНА
75	7109-945449	1	1	4500	6	Покупка товара	6000	3000	Затраты на образование (в т.ч. детей)	Да	Нет	Нет	Нет	1	Финансы, банковское дело	5	Участие в основной деятельности	7	Муж	Нет	50	2	36	ИСТИНА	ИСТИНА
76	5113-684816	1	1	18000	12	Покупка товара	9000	5000	Одежда, продукты питания и т.п.	Да	Нет	Да	Нет	1	Машиностроение и металлообработка	6	Участие в основной деятельности	8	Жен	Да	53	3	32	ИСТИНА	ИСТИНА
77	2591-118093	1	1	9500	12	Турпоездки, развлечения и т.п.	4000	2500	Затраты на образование (в т.ч. детей)	Да	Да	Нет	Нет	1	Ощественное питание	3	Участие в основной деятельности	4	Муж	Да	25	1	13	ИСТИНА	ИСТИНА
78	9854-456423	1	1	13500	6	Покупка товара	11500	6500	Покупка и ремонт недвижимости	Да	Да	Нет	Нет	1	Финансы, банковское дело	4	Участие в основной деятельности	7	Жен	Да	42	3	24	ИСТИНА	ИСТИНА
79	1872-326537	1	1	7000	6	Оплата за образование	8000	4000	Покупка товаров длит. пользования	Да	Нет	Нет	Нет	1	Ощественное питание	6	Участие в основной деятельности	8	Жен	Нет	34	3	19	ИСТИНА	ИСТИНА
80	1858-194097	1	1	25000	18	Оплата за образование	7000	4000	Содержание/аренда недвижимости, а/т	Да	Нет	Нет	Нет	1	Финансы, банковское дело	5	Участие в основной деятельности	6	Жен	Да	30	0	19	ИСТИНА	ИСТИНА
81	7553-978436	1	1	16000	6	Покупка товара	13500	10000	Оплата услуг (мед., юрид. и т.п.)	Да	Да	Нет	Нет	1	Химия, парфюмерия, фармацефтика	6	Бухгалтерия, финансы и планирование	6	Муж	Нет	24	0	14	ЛОЖЬ	ЛОЖЬ
82	2399-202467	1	1	18000	12	Оплата за образование	12500	5500	Покупка товаров длит. пользования	Нет	Да	Нет	Нет	1	Наука и культура	5	Снабжение и сбыт	5	Муж	Да	26	1	10	ИСТИНА	ИСТИНА
83	6266-271483	1	1	7500	6	Оплата услуг (мед., юрид. и т.п.)	7500	3500	Содержание/аренда недвижимости, а/т	Да	Да	Нет	Нет	1	Легкая и пищевая промышленность	6	Вспомогательный технический персонал	7	Муж	Нет	22	1	12	ИСТИНА	ИСТИНА
84	2959-724633	1	1	4000	6	Покупка товара	3500	2000	Одежда, продукты питания и т.п.	Да	Да	Да	Нет	1	Торговля оптовая, поср. деательность	6	Участие в основной деятельности	7	Жен	Нет	27	0	10	ИСТИНА	ИСТИНА
85	4146-552784	1	1	37000	36	Оплата за образование	5500	2000	Покупка и ремонт недвижимости	Да	Нет	Нет	Нет	1	Сборочные производства	10	Участие в основной деятельности	12	Муж	Да	41	3	23	ИСТИНА	ИСТИНА
86	9265-759691	1	1	4000	6	Покупка товара	3500	2000	Затраты на образование (в т.ч. детей)	Да	Нет	Да	Нет	1	Транспорт и связь	6	Юридическая служба	7	Муж	Нет	19	0	10	ИСТИНА	ИСТИНА
87	9282-054812	1	1	9500	6	Покупка и ремонт недвижимости	13500	6000	Выплаты по кредитам/займам	Да	Да	Да	Нет	1	Ощественное питание	5	Снабжение и сбыт	8	Муж	Да	22	0	11	ИСТИНА	ИСТИНА
88	1314-519888	1	1	18500	6	Оплата услуг (мед., юрид. и т.п.)	20500	11500	Затраты на образование (в т.ч. детей)	Да	Нет	Нет	Нет	1	Сборочные производства	6	Бухгалтерия, финансы и планирование	8	Муж	Нет	21	1	8	ИСТИНА	ЛОЖЬ
89	1219-170846	1	1	5500	6	Покупка и ремонт недвижимости	5000	2500	Одежда, продукты питания и т.п.	Да	Нет	Нет	Нет	1	Наука и культура	8	Адм.-хоз. и транспортная службы	9	Муж	Нет	29	0	17	ИСТИНА	ИСТИНА
90	3040-630843	1	1	54500	24	Покупка товара	11500	6000	Помощь родственникам	Да	Да	Нет	Нет	1	Коммунальное хо-во / Сфера услуг	2	Участие в основной деятельности	4	Муж	Нет	20	0	8	ИСТИНА	ЛОЖЬ
91	5854-575107	1	1	74500	30	Иное	15000	8000	Одежда, продукты питания и т.п.	Нет	Нет	Да	Нет	1	Ощественное питание	6	Участие в основной деятельности	8	Жен	Нет	20	1	18	ИСТИНА	ИСТИНА
92	7850-007779	1	1	25500	12	Оплата за образование	11000	7500	Оплата услуг (мед., юрид. и т.п.)	Да	Нет	Да	Да	1	Сборочные производства	2	Участие в основной деятельности	3	Муж	Нет	29	1	15	ИСТИНА	ИСТИНА
93	8571-089556	1	1	24000	12	Покупка товара	10500	5000	Одежда, продукты питания и т.п.	Да	Нет	Нет	Нет	1	Наука и культура	5	Кадровая служба и секритариат	7	Муж	Да	45	3	22	ИСТИНА	ИСТИНА
94	4849-364981	1	1	19500	12	Оплата за образование	8500	5000	Затраты на образование (в т.ч. детей)	Да	Нет	Нет	Нет	1	Туризм	2	Участие в основной деятельности	3	Муж	Нет	37	2	16	ИСТИНА	ЛОЖЬ
95	4473-897505	1	1	18500	18	Покупка товара	8500	4500	Одежда, продукты питания и т.п.	Да	Нет	Нет	Нет	1	Наука и культура	14	Участие в основной деятельности	15	Жен	Да	53	1	33	ИСТИНА	ИСТИНА
96	1121-187187	1	1	45500	18	Покупка товара	16500	9000	Турпоездки, развлечения и т.п.	Да	Да	Нет	Нет	1	Информатика и телекоммуникации	9	Адм.-хоз. и транспортная службы	11	Муж	Нет	27	0	19	ИСТИНА	ИСТИНА
97	7144-708231	1	1	33000	18	Покупка и ремонт недвижимости	9500	5000	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Увесилительный, игровой и шой-бизнес	9	Участие в основной деятельности	10	Муж	Да	46	3	30	ИСТИНА	ИСТИНА
98	7021-109220	1	1	35500	18	Покупка товара	10000	5500	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Информатика и телекоммуникации	8	Участие в основной деятельности	11	Муж	Нет	25	1	17	ИСТИНА	ИСТИНА
99	9618-034891	1	1	39000	18	Оплата за образование	11000	7000	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Наука и культура	11	Участие в основной деятельности	11	Муж	Да	45	3	34	ИСТИНА	ИСТИНА
100	2018-086600	1	1	3500	6	Иное	3500	2000	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Здравоохранение (гос.)	4	Служба безопасности	5	Жен	Да	33	2	22	ИСТИНА	ИСТИНА
101	7439-693524	1	1	39500	18	Покупка товара	20000	9500	Покупка и ремонт недвижимости	Да	Да	Нет	Нет	1	Образование (комерч.)	5	Бухгалтерия, финансы и планирование	6	Жен	Нет	26	1	17	ИСТИНА	ИСТИНА
102	9199-044193	1	1	28500	18	Покупка и ремонт недвижимости	8000	3000	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Салоны красоты и здоровья	4	Участие в основной деятельности	6	Жен	Да	36	2	13	ИСТИНА	ИСТИНА
103	1098-358394	1	1	18500	12	Покупка и ремонт недвижимости	8000	3000	Покупка товаров длит. пользования	Да	Нет	Нет	Нет	1	Образование (гос.)	5	Участие в основной деятельности	8	Муж	Нет	27	1	10	ИСТИНА	ИСТИНА
104	2286-445171	1	1	20500	12	Покупка товара	9500	4000	Турпоездки, развлечения и т.п.	Да	Да	Нет	Нет	1	Машиностроение и металлообработка	2	Участие в основной деятельности	3	Жен	Да	29	0	21	ИСТИНА	ИСТИНА
105	7334-300641	1	1	15500	12	Покупка товара	6500	2500	Затраты на образование (в т.ч. детей)	Да	Да	Нет	Да	1	Торговля розничная	5	Бухгалтерия, финансы и планирование	6	Муж	Нет	23	0	16	ИСТИНА	ИСТИНА
106	4352-171958	1	1	32500	18	Покупка и ремонт недвижимости	9500	5000	Содержание/аренда недвижимости, а/т	Да	Да	Нет	Да	1	Наука и культура	4	Участие в основной деятельности	4	Жен	Нет	33	3	20	ИСТИНА	ИСТИНА
107	1877-972020	1	1	35000	18	Покупка и ремонт недвижимости	10000	5500	Покупка и ремонт недвижимости	Да	Нет	Нет	Нет	1	Финансы, банковское дело	9	Участие в основной деятельности	11	Муж	Да	27	1	16	ИСТИНА	ИСТИНА
108	8983-779930	1	1	13500	12	Покупка и ремонт недвижимости	6000	2000	Затраты на образование (в т.ч. детей)	Да	Нет	Нет	Нет	1	Транспорт и связь	2	Пр.-техн. обесп. и телекомуникации	5	Жен	Да	37	2	22	ИСТИНА	ИСТИНА
109	3208-890983	1	1	14000	12	Покупка товара	6000	2000	Одежда, продукты питания и т.п.	Да	Нет	Нет	Нет	1	Машиностроение и металлообработка	5	Участие в основной деятельности	7	Муж	Да	20	1	18	ИСТИНА	ЛОЖЬ
