Институт: Фэи
| № |    Фамилия |    Cредний балл |    Возраст |
|309 |     Иванов |               2 |         20 |
|310 |      Попов |               2 |         20 |
|311 |   Кузнецов |               2 |         20 |
|312 |      Попов |               2 |         20 |
|313 |      Попов |               2 |         20 |
|314 |      Попов |               2 |         20 |
|315 |     Петров |               2 |         20 |
|316 |    Смирнов |               2 |         20 |
|317 |   Кузнецов |               2 |         20 |
|318 |     Петров |               2 |         20 |
|319 |     Иванов |               2 |         20 |
|320 |     Петров |               1 |         20 |
|321 |     Иванов |               1 |         20 |
|322 |      Попов |               1 |         20 |
|323 |    Соколов |               1 |         20 |
|324 |   Васильев |               1 |         20 |
|325 |    Смирнов |               1 |         20 |
|326 |   Кузнецов |               1 |         20 |
|327 |   Кузнецов |               1 |         20 |
|328 |    Смирнов |               1 |         20 |
|329 |    Соколов |               1 |         20 |
|330 |     Иванов |               1 |         20 |
|331 |     Петров |               1 |         20 |
|332 |   Васильев |               1 |         20 |
|333 |   Михайлов |               1 |         20 |
|334 |   Кузнецов |               1 |         20 |
|335 |     Иванов |               1 |         20 |
|336 |      Попов |               1 |         20 |
|337 |   Михайлов |               1 |         20 |
|338 |   Кузнецов |               1 |         20 |
|339 |   Михайлов |               1 |         20 |
|340 |     Иванов |               1 |         20 |
|341 |    Смирнов |               1 |         20 |
|342 |     Иванов |               1 |         20 |
|343 |    Соколов |               6 |         19 |
|344 |      Попов |               6 |         19 |
|345 |   Васильев |               6 |         19 |
|346 |   Михайлов |               6 |         19 |
|347 |     Иванов |               6 |         19 |
|348 |   Михайлов |               6 |         19 |
|349 |   Кузнецов |               6 |         19 |
|350 |     Иванов |               6 |         19 |
|351 |   Васильев |               6 |         19 |
|352 |      Попов |               6 |         19 |
|353 |      Попов |               6 |         19 |
|354 |    Соколов |               6 |         19 |
|355 |   Кузнецов |               6 |         19 |
|356 |   Михайлов |               6 |         19 |
|357 |   Кузнецов |               6 |         19 |
|358 |   Кузнецов |               6 |         19 |
|359 |   Михайлов |               6 |         19 |
|360 |   Васильев |               6 |         19 |
|361 |    Соколов |               6 |         19 |
|362 |   Кузнецов |               6 |         19 |
|363 |    Соколов |               6 |         19 |
|364 |    Соколов |               6 |         19 |
|365 |     Иванов |               6 |         19 |
|366 |     Петров |               6 |         19 |
|367 |     Петров |               6 |         19 |
|368 |   Васильев |               6 |         19 |
|369 |    Соколов |               6 |         19 |
|370 |     Петров |               6 |         19 |
|371 |   Михайлов |               6 |         19 |
|372 |   Кузнецов |               5 |         19 |
|373 |   Кузнецов |               5 |         19 |
|374 |     Петров |               5 |         19 |
|375 |      Попов |               5 |         19 |
|376 |   Кузнецов |               5 |         19 |
|377 |   Кузнецов |               5 |         19 |
|378 |      Попов |               5 |         19 |
|379 |     Петров |               5 |         19 |
|380 |     Иванов |               5 |         19 |
|381 |    Смирнов |               5 |         19 |
|382 |    Смирнов |               5 |         19 |
|383 |     Иванов |               5 |         19 |
|384 |    Смирнов |               5 |         19 |
|385 |   Васильев |               5 |         19 |
|386 |    Соколов |               5 |         19 |
|387 |     Петров |               5 |         19 |
|388 |      Попов |               5 |         19 |
|389 |      Попов |               5 |         19 |
|390 |    Смирнов |               5 |         19 |
|391 |   Васильев |               5 |         19 |
|392 |   Васильев |               5 |         19 |
|393 |     Иванов |               5 |         19 |
|394 |   Михайлов |               5 |         19 |
|395 |    Смирнов |               5 |         19 |
|396 |    Смирнов |               5 |         19 |
|397 |    Соколов |               5 |         19 |
|398 |   Васильев |               5 |         19 |
|399 |    Соколов |               5 |         19 |
|400 |    Соколов |               5 |         19 |
|401 |    Соколов |               5 |         19 |
|402 |     Петров |               5 |         19 |
|403 |    Смирнов |               5 |         19 |
|404 |    Смирнов |               5 |         19 |
|405 |    Смирнов |               5 |         19 |
|406 |    Смирнов |               5 |         19 |
|407 |    Смирнов |               5 |         19 |
|408 |      Попов |               5 |         19 |
|409 |     Петров |               5 |         19 |
|410 |     Петров |               4 |         19 |
|411 |   Михайлов |               4 |         19 |
|412 |   Васильев |               4 |         19 |
|413 |    Соколов |               4 |         19 |
|414 |    Соколов |               4 |         19 |
|415 |    Соколов |               4 |         19 |
|416 |      Попов |               4 |         19 |
|417 |     Петров |               4 |         19 |
|418 |      Попов |               4 |         19 |
|419 |     Петров |               4 |         19 |
|420 |      Попов |               4 |         19 |
|421 |    Соколов |               4 |         19 |
|422 |   Михайлов |               4 |         19 |
|423 |   Кузнецов |               4 |         19 |
|424 |     Петров |               4 |         19 |
|425 |   Васильев |               4 |         19 |
|426 |     Иванов |               4 |         19 |
|427 |   Кузнецов |               4 |         19 |
|428 |    Соколов |               4 |         19 |
|429 |    Соколов |               4 |         19 |
|430 |    Соколов |               4 |         19 |
|431 |     Иванов |               4 |         19 |
|432 |      Попов |               4 |         19 |
|433 |   Кузнецов |               4 |         19 |
|434 |   Кузнецов |               4 |         19 |
|435 |    Смирнов |               3 |         19 |
|436 |   Кузнецов |               3 |         19 |
|437 |   Васильев |               3 |         19 |
|438 |   Кузнецов |               3 |         19 |
|439 |     Петров |               3 |         19 |
|440 |     Иванов |               3 |         19 |
|441 |   Михайлов |               3 |         19 |
|442 |     Иванов |               3 |         19 |
|443 |    Смирнов |               3 |         19 |
|444 |    Соколов |               3 |         19 |
|445 |     Петров |               3 |         19 |
|446 |    Смирнов |               3 |         19 |
|447 |      Попов |               3 |         19 |
|448 |   Кузнецов |               3 |         19 |
|449 |   Васильев |               3 |         19 |
|450 |     Иванов |               3 |         19 |
|451 |     Петров |               3 |         19 |
|452 |   Васильев |               3 |         19 |
|453 |     Иванов |               3 |         19 |
|454 |   Васильев |               3 |         19 |
|455 |      Попов |               3 |         19 |
|456 |     Иванов |               3 |         19 |
|457 |   Михайлов |               3 |         19 |
|458 |      Попов |               3 |         19 |
|459 |   Кузнецов |               3 |         19 |
|460 |   Васильев |               3 |         19 |
|461 |     Иванов |               3 |         19 |
|462 |      Попов |               3 |         19 |
|463 |    Смирнов |               3 |         19 |
|464 |   Михайлов |               3 |         19 |
|465 |    Соколов |               3 |         19 |
|466 |      Попов |               3 |         19 |
|467 |     Петров |               3 |         19 |
|468 |     Иванов |               3 |         19 |
|469 |   Кузнецов |               2 |         19 |
|470 |   Михайлов |               2 |         19 |
|471 |   Михайлов |               2 |         19 |
|472 |    Соколов |               2 |         19 |
|473 |     Петров |               2 |         19 |
|474 |   Кузнецов |               2 |         19 |
|475 |    Смирнов |               2 |         19 |
|476 |   Васильев |               2 |         19 |
|477 |    Смирнов |               2 |         19 |
|478 |    Смирнов |               2 |         19 |
|479 |     Петров |               2 |         19 |
|480 |    Соколов |               2 |         19 |
|481 |   Михайлов |               2 |         19 |
|482 |     Петров |               2 |         19 |
|483 |   Кузнецов |               2 |         19 |
|484 |   Васильев |               2 |         19 |
|485 |    Смирнов |               2 |         19 |
|486 |   Кузнецов |               2 |         19 |
|487 |   Кузнецов |               2 |         19 |
|488 |    Смирнов |               2 |         19 |
|489 |   Васильев |               2 |         19 |
|490 |     Иванов |               2 |         19 |
|491 |   Михайлов |               2 |         19 |
|492 |   Михайлов |               2 |         19 |
|493 |    Соколов |               2 |         19 |
|494 |    Соколов |               2 |         19 |
|495 |    Соколов |               2 |         19 |
|496 |   Михайлов |               2 |         19 |
|497 |   Кузнецов |               1 |         19 |
|498 |   Кузнецов |               1 |         19 |
|499 |   Михайлов |               1 |         19 |
|500 |      Попов |               1 |         19 |
|501 |   Кузнецов |               1 |         19 |
|502 |   Михайлов |               1 |         19 |
|503 |      Попов |               1 |         19 |
|504 |      Попов |               1 |         19 |
|505 |      Попов |               1 |         19 |
|506 |      Попов |               1 |         19 |
|507 |   Васильев |               1 |         19 |
|508 |    Соколов |               1 |         19 |
|509 |    Соколов |               1 |         19 |
|510 |    Смирнов |               1 |         19 |
|511 |   Кузнецов |               1 |         19 |
|512 |   Кузнецов |               1 |         19 |
|513 |   Васильев |               1 |         19 |
|514 |      Попов |               1 |         19 |
|515 |     Петров |               1 |         19 |
|516 |   Михайлов |               1 |         19 |
|517 |    Смирнов |               1 |         19 |
|518 |      Попов |               6 |         18 |
|519 |   Кузнецов |               6 |         18 |
|520 |     Петров |               6 |         18 |
|521 |   Васильев |               6 |         18 |
|522 |   Кузнецов |               6 |         18 |
|523 |      Попов |               6 |         18 |
|524 |     Иванов |               6 |         18 |
|525 |     Иванов |               6 |         18 |
|526 |     Иванов |               6 |         18 |
|527 |    Смирнов |               6 |         18 |
|528 |     Иванов |               6 |         18 |
|529 |     Иванов |               6 |         18 |
|530 |     Иванов |               6 |         18 |
|531 |   Михайлов |               6 |         18 |
|532 |    Соколов |               6 |         18 |
|533 |      Попов |               6 |         18 |
|534 |     Петров |               6 |         18 |
|535 |    Соколов |               6 |         18 |
|536 |   Кузнецов |               6 |         18 |
|537 |    Смирнов |               6 |         18 |
|538 |    Соколов |               5 |         18 |
|539 |   Кузнецов |               5 |         18 |
|540 |    Соколов |               5 |         18 |
|541 |   Кузнецов |               5 |         18 |
|542 |   Васильев |               5 |         18 |
|543 |     Иванов |               5 |         18 |
|544 |     Иванов |               5 |         18 |
|545 |     Петров |               5 |         18 |
|546 |   Кузнецов |               5 |         18 |
|547 |     Иванов |               5 |         18 |
|548 |      Попов |               5 |         18 |
|549 |     Петров |               5 |         18 |
|550 |    Соколов |               5 |         18 |
|551 |     Петров |               5 |         18 |
|552 |     Иванов |               5 |         18 |
|553 |     Петров |               5 |         18 |
|554 |   Кузнецов |               5 |         18 |
|555 |      Попов |               5 |         18 |
|556 |   Васильев |               5 |         18 |
|557 |   Кузнецов |               5 |         18 |
|558 |   Михайлов |               5 |         18 |
|559 |     Петров |               5 |         18 |
|560 |      Попов |               5 |         18 |
|561 |   Васильев |               5 |         18 |
|562 |      Попов |               4 |         18 |
|563 |    Соколов |               4 |         18 |
|564 |    Соколов |               4 |         18 |
|565 |   Васильев |               4 |         18 |
|566 |     Петров |               4 |         18 |
|567 |     Иванов |               4 |         18 |
|568 |    Соколов |               4 |         18 |
|569 |      Попов |               4 |         18 |
|570 |   Кузнецов |               4 |         18 |
|571 |     Иванов |               4 |         18 |
|572 |      Попов |               4 |         18 |
|573 |     Иванов |               4 |         18 |
|574 |   Васильев |               4 |         18 |
|575 |   Васильев |               4 |         18 |
|576 |      Попов |               4 |         18 |
|577 |    Соколов |               4 |         18 |
|578 |      Попов |               4 |         18 |
|579 |    Соколов |               4 |         18 |
|580 |      Попов |               4 |         18 |
|581 |     Петров |               4 |         18 |
|582 |    Смирнов |               4 |         18 |
|583 |   Васильев |               4 |         18 |
|584 |     Петров |               4 |         18 |
|585 |   Кузнецов |               4 |         18 |
|586 |   Михайлов |               4 |         18 |
|587 |   Васильев |               4 |         18 |
|588 |     Петров |               4 |         18 |
|589 |     Петров |               4 |         18 |
|590 |    Соколов |               4 |         18 |
|591 |   Васильев |               4 |         18 |
|592 |   Васильев |               4 |         18 |
|593 |     Иванов |               4 |         18 |
|594 |   Васильев |               4 |         18 |
|595 |   Васильев |               4 |         18 |
|596 |     Иванов |               3 |         18 |
|597 |     Иванов |               3 |         18 |
|598 |   Михайлов |               3 |         18 |
|599 |     Петров |               3 |         18 |
|600 |     Петров |               3 |         18 |
|601 |      Попов |               3 |         18 |
|602 |   Васильев |               3 |         18 |
|603 |   Михайлов |               3 |         18 |
|604 |   Михайлов |               3 |         18 |
|605 |     Иванов |               3 |         18 |
|606 |     Иванов |               3 |         18 |
|607 |     Петров |               3 |         18 |
|608 |      Попов |               3 |         18 |
|609 |   Михайлов |               3 |         18 |
|610 |     Петров |               3 |         18 |
|611 |    Смирнов |               3 |         18 |
|612 |   Васильев |               3 |         18 |
|613 |      Попов |               3 |         18 |
|614 |    Смирнов |               3 |         18 |
|615 |    Соколов |               3 |         18 |
|616 |    Смирнов |               3 |         18 |
|617 |    Соколов |               3 |         18 |
|618 |   Васильев |               3 |         18 |
|619 |      Попов |               3 |         18 |
|620 |   Васильев |               3 |         18 |
|621 |   Кузнецов |               3 |         18 |
|622 |    Смирнов |               3 |         18 |
|623 |   Васильев |               3 |         18 |
|624 |      Попов |               3 |         18 |
|625 |    Смирнов |               3 |         18 |
|626 |    Соколов |               3 |         18 |
|627 |    Соколов |               3 |         18 |
|628 |      Попов |               3 |         18 |
|629 |     Петров |               2 |         18 |
|630 |      Попов |               2 |         18 |
|631 |   Васильев |               2 |         18 |
|632 |     Петров |               2 |         18 |
|633 |   Васильев |               2 |         18 |
|634 |     Петров |               2 |         18 |
|635 |     Петров |               2 |         18 |
|636 |     Иванов |               2 |         18 |
|637 |     Иванов |               2 |         18 |
|638 |    Соколов |               2 |         18 |
|639 |     Петров |               2 |         18 |
|640 |   Михайлов |               2 |         18 |
|641 |    Соколов |               2 |         18 |
|642 |     Петров |               2 |         18 |
|643 |    Соколов |               2 |         18 |
|644 |     Петров |               2 |         18 |
|645 |   Васильев |               2 |         18 |
|646 |      Попов |               2 |         18 |
|647 |   Михайлов |               2 |         18 |
|648 |     Иванов |               2 |         18 |
|649 |     Петров |               2 |         18 |
|650 |    Смирнов |               2 |         18 |
|651 |     Иванов |               2 |         18 |
|652 |     Иванов |               2 |         18 |
|653 |     Иванов |               2 |         18 |
|654 |   Васильев |               2 |         18 |
|655 |   Михайлов |               1 |         18 |
|656 |   Кузнецов |               1 |         18 |
|657 |    Соколов |               1 |         18 |
|658 |      Попов |               1 |         18 |
|659 |   Васильев |               1 |         18 |
|660 |   Васильев |               1 |         18 |
|661 |   Кузнецов |               1 |         18 |
|662 |    Смирнов |               1 |         18 |
|663 |     Петров |               1 |         18 |
|664 |     Иванов |               1 |         18 |
|665 |      Попов |               1 |         18 |
|666 |    Смирнов |               1 |         18 |
|667 |    Смирнов |               1 |         18 |
|668 |    Соколов |               1 |         18 |
|669 |    Смирнов |               1 |         18 |
|670 |    Смирнов |               1 |         18 |
|671 |     Иванов |               1 |         18 |
|672 |    Соколов |               1 |         18 |
|673 |   Кузнецов |               1 |         18 |
|674 |    Смирнов |               1 |         18 |
|675 |     Иванов |               1 |         18 |
|676 |    Соколов |               1 |         18 |
|677 |    Смирнов |               1 |         18 |
|678 |     Петров |               1 |         18 |
|679 |   Васильев |               1 |         18 |
|680 |     Петров |               6 |         17 |
|681 |      Попов |               6 |         17 |
|682 |     Иванов |               6 |         17 |
|683 |   Михайлов |               6 |         17 |
|684 |     Петров |               6 |         17 |
|685 |      Попов |               6 |         17 |
|686 |    Смирнов |               6 |         17 |
|687 |     Иванов |               6 |         17 |
|688 |   Кузнецов |               6 |         17 |
|689 |   Михайлов |               6 |         17 |
|690 |   Кузнецов |               6 |         17 |
|691 |     Петров |               6 |         17 |
|692 |     Петров |               6 |         17 |
|693 |     Иванов |               6 |         17 |
|694 |     Петров |               6 |         17 |
|695 |   Васильев |               6 |         17 |
|696 |      Попов |               6 |         17 |
|697 |    Соколов |               6 |         17 |
|698 |   Васильев |               5 |         17 |
|699 |   Михайлов |               5 |         17 |
|700 |     Петров |               5 |         17 |
|701 |     Петров |               5 |         17 |
|702 |     Иванов |               5 |         17 |
|703 |     Иванов |               5 |         17 |
|704 |    Смирнов |               5 |         17 |
|705 |      Попов |               5 |         17 |
|706 |     Иванов |               5 |         17 |
|707 |     Петров |               5 |         17 |
|708 |     Иванов |               5 |         17 |
|709 |     Петров |               5 |         17 |
|710 |     Петров |               5 |         17 |
|711 |   Михайлов |               5 |         17 |
|712 |      Попов |               5 |         17 |
|713 |    Соколов |               5 |         17 |
|714 |   Кузнецов |               5 |         17 |
|715 |    Смирнов |               5 |         17 |
|716 |   Васильев |               5 |         17 |
|717 |      Попов |               5 |         17 |
|718 |   Кузнецов |               5 |         17 |
|719 |    Соколов |               5 |         17 |
|720 |      Попов |               5 |         17 |
|721 |     Иванов |               5 |         17 |
|722 |      Попов |               5 |         17 |
|723 |     Петров |               5 |         17 |
|724 |    Соколов |               5 |         17 |
|725 |   Михайлов |               4 |         17 |
